Control ID,Control Area,Control Statement,Control Type,Frequency,Objective,Framework Mapping,Source Name,Source Document
CTRL_000284,General Compliance,19.3.8 A certificate issued under section 19.2 shall cease to be valid in any of the following cases: .1 if the relevant verifications are not completed within the periods specified under section 19.1.1; .2 if the certificate is not endorsed in accordance with section 19.1.1.3 and 19.3.7.2 if applicable; .3 when a Company assumes the responsibility for the operation of a ship not previously operated by that Company; and .4 upon transfer of the ship to the flag of another State.,Preventive,Not Specified,Ensure compliance with regulatory requirements,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000285,Security Management,"19.3.9 In the case of: .1 a transfer of a ship to the flag of another Contracting Government, the Contracting Government whose flag the ship was formerly entitled to fly shall, as soon as possible, transmit to the receiving Administration copies of, or all information relating to, the International Ship Security Certificate carried by the ship before the transfer and copies of available verification reports, or .2 a Company that assumes responsibility for the operation of a ship not previously operated by that Company, the previous Company shall as soon as possible, transmit to the receiving Company copies of any information related to the International Ship Security Certificate or to facilitate the verifications described in section 19.4.2.",Preventive,Not Specified,Improve maritime security controls,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000286,General Compliance,19.4 Interim certification 19.4.1 The certificates specified in section 19.2 shall be issued only when the Administration issuing the certificate is fully satisfied that the ship complies with the requirements of section 19.1.,Preventive,Not Specified,Ensure compliance with regulatory requirements,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000287,Audit & Monitoring,"19.4.2 An Interim International Ship Security Certificate shall only be issued when the Administration or recognized security organization, on behalf of the Administration, has verified that: .1 the ship security assessment required by this part of the Code has been completed, .2 a copy of the ship security plan meeting the requirements of chapter XI-2 and part A of this Code is provided on board, has been submitted for review and approval, and is being implemented on the ship; .3 the ship is provided with a ship security alert system meeting the requirements of regulation XI-2/6, if required, .4 the Company Security Officer: .1 has ensured: .1 the review of the ship security plan for compliance with this part of the Code, .2 that the plan has been submitted for approval, and .3 that the plan is being implemented on the ship, and .2 has established the necessary arrangements, including arrangements for drills, exercises and internal audits, through which the Company Security Officer is satisfied that the ship will successfully complete the required verification in accordance with section 19.1.1.1, within 6 months; .5 arrangements have been made for carrying out the required verifications under section 19.1.1.1; .6 the master, the ship’s security officer and other ship’s personnel with specific security duties are familiar with their duties and responsibilities as specified in this part of the Code; and with the relevant provisions of the ship security plan placed on board; and have been provided such information in the working language of the ship’s personnel or languages understood by them; and .7 the ship security officer meets the requirements of this part of the Code.",Preventive,Not Specified,Improve maritime security controls,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000288,Security Management,"19.4.4 An Interim International Ship Security Certificate shall be valid for 6 months, or until the certificate required by section 19.2 is issued, whichever comes first, and may not be extended.",Preventive,Not Specified,Improve maritime security controls,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000289,Security Management,"19.4.5 No Contracting Government shall cause a subsequent, consecutive Interim International Ship Security Certificate to be issued to a ship if, in the judgment of the Administration or the recognized security organization, one of the purposes of the ship or a Company in requesting such certificate is to avoid full compliance with chapter XI-2 and this part of the Code beyond the period of the initial interim certificate as specified in section 19.4.4.",Preventive,Not Specified,Improve maritime security controls,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000290,Security Management,"19.4.6 For the purposes of regulation XI-2/9, Contracting Governments may, prior to accepting an Interim International Ship Security Certificate as a valid certificate, ensure that the requirements of sections 19.4.2.4 to 19.4.2.6 have been met.",Preventive,Not Specified,Improve maritime security controls,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000291,Security Management,THIS IS TO CERTIFY: 1 that the security system and any associated security equipment of the ship has been verified in accordance with section 19.1 of part A of the ISPS Code; 2 that the verification showed that the security system and any associated security equipment of the ship is in all respects satisfactory and that the ship complies with the applicable requirements of chapter XI-2 of the Convention and part A of the ISPS Code; 3 that the ship is provided with an approved Ship Security Plan.,Preventive,Not Specified,Improve maritime security controls,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000292,General Compliance,"Issued at ………………………………………….. (place of issue of the Certificate) Date of issue …………………….. …………………………………………………….. (signature of the duly authorized official issuing the Certificate) (Seal or stamp of issuing authority, as appropriate) SOLAS/CONF.5/34 ANNEX 1 Page 27 I:\CONF\SOLAS\5\34.DOC ENDORSEMENT FOR INTERMEDIATE VERIFICATION THIS IS TO CERTIFY that at an intermediate verification required by section 19.1.1 of part A of the ISPS Code the ship was found to comply with the relevant provisions of chapter XI-2 of the Convention and part A of the ISPS Code.",Preventive,Not Specified,Ensure compliance with regulatory requirements,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000293,General Compliance,"Date …………………………………… (Seal or stamp of the authority, as appropriate) ___________ * This part of the certificate shall be adapted by the Administration to indicate whether it has established additional verifications as provided for in section 19.1.1.4.",Preventive,Not Specified,Ensure compliance with regulatory requirements,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000294,General Compliance,SOLAS/CONF.5/34 ANNEX 1 Page 28 I:\CONF\SOLAS\5\34.DOC ADDITIONAL VERIFICATION IN ACCORDANCE WITH SECTION A/19.3.7.2 OF THE ISPS CODE THIS IS TO CERTIFY that at an additional verification required by section 19.3.7.2 of part A of the ISPS Code the ship was found to comply with the relevant provisions of chapter XI-2 of the Convention and part A of the ISPS Code.,Preventive,Not Specified,Ensure compliance with regulatory requirements,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000295,General Compliance,"Date …………………………………… (Seal or stamp of the authority, as appropriate) ENDORSEMENT TO EXTEND THE CERTIFICATE IF VALID FOR LESS THAN 5 YEARS WHERE SECTION A/19.3.3 OF THE ISPS CODE APPLIES The ship complies with the relevant provisions of part A of the ISPS Code, and the Certificate shall, in accordance with section 19.3.3 of part A of the ISPS Code, be accepted as valid until ………………….",Preventive,Not Specified,Ensure compliance with regulatory requirements,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000296,General Compliance,"Signed ………………………………… (Signature of authorized official) Place ………………………………… Date …………………………………… (Seal or stamp of the authority, as appropriate) ENDORSEMENT WHERE THE RENEWAL VERIFICATION HAS BEEN COMPLETED AND SECTION A/19.3.4 OF THE ISPS CODE APPLIES The ship complies with the relevant provisions of part A of the ISPS Code, and the Certificate shall, in accordance with section 19.3.4 of part A of the ISPS Code, be accepted as valid until ………………….",Preventive,Not Specified,Ensure compliance with regulatory requirements,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000297,General Compliance,"Signed ………………………………… (Signature of authorized official) Place ………………………………… Date …………………………………… (Seal or stamp of the authority, as appropriate) SOLAS/CONF.5/34 ANNEX 1 Page 29 I:\CONF\SOLAS\5\34.DOC ENDORSEMENT TO EXTEND THE VALIDITY OF THE CERTIFICATE UNTIL REACHING THE PORT OF VERIFICATION WHERE SECTION A/19.3.5 OF THE ISPS CODE APPLIES OR FOR A PERIOD OF GRACE WHERE SECTION A/19.3.6 OF THE ISPS CODE APPLIES This Certificate shall, in accordance with section 19.3.5 / 19.3.6* of part A of the ISPS Code, be accepted as valid until ……………………………….",Preventive,Not Specified,Ensure compliance with regulatory requirements,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
CTRL_000298,General Compliance,** In case of completion of this part of the certificate the expiry date shown on the front of the certificate shall also be amended accordingly.,Preventive,Not Specified,Ensure compliance with regulatory requirements,General Framework,General Framework,parta_final_conf_5_34_eng.pdf
